                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7356,                 5.6686,                 1.1892,                0.56306,                0.11265,                0.08998,                0.04458,                 2.4336,                 2.8659,                0.93908,                 0.0811,                 0.0021,                 0.0021
                      1,                 2.3388,                 2.3081,                0.93835,                0.44342,                 0.3695,                0.34824,                0.22192,                 2.2794,                 1.8811,                0.91544,               0.061257,              0.0042574,              0.0042574
                      2,                  2.423,                 1.9898,                0.94357,                0.32065,                0.36643,                0.33431,                0.13083,                 2.8593,                 1.8556,                0.95358,               0.041371,              0.0063713,              0.0063713
                      3,                 2.6483,                   1.92,                0.95892,                0.38251,                0.42937,                0.35226,                0.18216,                 2.3267,                  1.583,                0.92286,               0.021442,              0.0084416,              0.0084416
                      4,                 2.6696,                 1.8842,                0.96555,                0.31024,                0.38772,                0.30222,                0.15207,                 2.8145,                 1.6595,                0.99644,               0.009604,               0.009604,               0.009604
                      5,                 2.6304,                 1.8643,                 1.0013,                 0.6493,                0.26621,                0.32116,                0.12502,                 2.8807,                 2.4421,                 1.0303,               0.009604,               0.009604,               0.009604
                      6,                 2.5585,                 1.6765,                0.95802,                0.44267,                0.46849,                0.41946,                0.19658,                 2.2504,                 1.4906,                0.93584,               0.009505,               0.009505,               0.009505
                      7,                 2.4938,                 1.4243,                0.95067,                0.56653,                0.44455,                0.43226,                0.18748,                 2.3437,                 1.4783,                0.94192,               0.009406,               0.009406,               0.009406
                      8,                 2.4395,                 1.3688,                0.94391,                0.53308,                0.47772,                0.47334,                0.22713,                 2.2819,                 1.3408,                 0.9227,               0.009307,               0.009307,               0.009307
                      9,                 2.3971,                 1.3777,                0.91653,                0.53381,                0.47959,                0.46213,                0.23186,                 2.0905,                 1.1381,                0.90369,               0.009208,               0.009208,               0.009208
                     10,                 2.2723,                  1.241,                0.91404,                0.57539,                0.50328,                0.50254,                0.25712,                 2.0252,                 1.1981,                0.89706,               0.009109,               0.009109,               0.009109
                     11,                 2.1956,                   1.18,                0.90054,                0.57528,                0.49935,                 0.5019,                 0.1919,                 2.3743,                 1.2457,                0.92461,                0.00901,                0.00901,                0.00901
                     12,                 2.1693,                 1.1352,                0.90271,                0.59555,                0.47835,                0.48506,                0.24242,                 2.0846,                 1.1624,                0.88617,               0.008911,               0.008911,               0.008911
                     13,                 2.1958,                 1.1177,                0.90269,                 0.6313,                0.50363,                0.51941,                0.25326,                 2.0667,                 1.1209,                0.89054,               0.008812,               0.008812,               0.008812
                     14,                 2.1012,                 1.0915,                0.89855,                0.62527,                0.51655,                0.51126,                0.28129,                 1.8757,                 1.0094,                0.87482,               0.008713,               0.008713,               0.008713
                     15,                 2.1212,                 1.1219,                0.88865,                0.69178,                0.50284,                0.51154,                0.27502,                 1.9394,                 1.0878,                0.87965,               0.008614,               0.008614,               0.008614
                     16,                 2.0394,                 1.1069,                0.88723,                0.69178,                 0.5114,                 0.5377,                0.29712,                 1.8851,                 1.0212,                0.87565,               0.008515,               0.008515,               0.008515
                     17,                 2.0281,                 1.0359,                0.88147,                0.62979,                0.52857,                0.52921,                 0.2718,                 2.0348,                 1.0727,                0.89872,               0.008416,               0.008416,               0.008416
                     18,                 2.0107,                  1.054,                0.87838,                0.69782,                 0.5127,                 0.5491,                 0.3173,                   1.77,                0.98502,                0.86495,               0.008317,               0.008317,               0.008317
                     19,                 1.9847,                 1.0411,                0.87672,                0.63448,                0.55318,                0.55536,                0.31102,                 1.7725,                 1.0616,                0.86547,               0.008218,               0.008218,               0.008218
                     20,                 1.9346,                 1.0199,                0.87264,                0.69617,                0.52222,                 0.5812,                0.32801,                 1.8439,                0.98699,                0.88093,               0.008119,               0.008119,               0.008119
                     21,                 1.9934,                 1.0245,                0.87306,                0.68898,                0.54036,                0.57615,                0.31406,                 1.8242,                0.95921,                0.87166,                0.00802,                0.00802,                0.00802
                     22,                 1.9771,                0.98817,                0.87228,                0.70516,                0.55171,                0.58187,                0.30621,                 1.7076,                0.91096,                0.86793,               0.007921,               0.007921,               0.007921
                     23,                 1.9156,                0.98114,                0.87212,                0.69081,                 0.5549,                0.58819,                0.34733,                 1.6586,                0.91523,                0.86949,               0.007822,               0.007822,               0.007822
                     24,                 1.9122,                0.97536,                0.87651,                0.67732,                0.57125,                0.59073,                0.32034,                 1.7558,                0.93473,                0.88099,               0.007723,               0.007723,               0.007723
                     25,                 1.8901,                0.95399,                0.86329,                0.69762,                0.57277,                0.57857,                0.32813,                 1.6848,                0.89786,                0.86523,               0.007624,               0.007624,               0.007624
                     26,                 1.8603,                0.94982,                0.86373,                 0.6447,                0.56825,                0.58451,                0.32484,                 1.8451,                0.97162,                0.87753,               0.007525,               0.007525,               0.007525
                     27,                 1.8495,                0.95448,                0.85675,                0.67249,                0.58147,                0.60451,                0.34433,                 1.7145,                  0.899,                0.86415,               0.007426,               0.007426,               0.007426
                     28,                 1.8855,                0.94417,                0.86345,                0.72337,                0.55819,                0.58946,                0.33082,                 1.6725,                0.89361,                0.85956,               0.007327,               0.007327,               0.007327
                     29,                 1.8429,                0.93779,                0.86099,                0.73716,                0.56163,                0.59533,                0.33592,                 1.6675,                0.89631,                0.85994,               0.007228,               0.007228,               0.007228
                     30,                  1.783,                0.90313,                0.85939,                0.70847,                0.56944,                0.59851,                 0.3294,                 1.7068,                0.89645,                0.86707,               0.007129,               0.007129,               0.007129
                     31,                 1.8016,                0.90397,                0.85867,                0.69189,                0.57353,                0.59732,                0.34539,                  1.646,                0.87876,                0.86071,                0.00703,                0.00703,                0.00703
                     32,                 1.7908,                0.90128,                 0.8591,                0.71862,                0.57414,                0.60765,                0.35024,                 1.6313,                0.86535,                0.86075,               0.006931,               0.006931,               0.006931
                     33,                   1.79,                0.89661,                0.85445,                0.73909,                0.58079,                0.60962,                0.35334,                 1.6213,                0.87074,                0.85767,               0.006832,               0.006832,               0.006832
                     34,                 1.7963,                0.88888,                0.85113,                0.71884,                0.57107,                0.58492,                0.35656,                 1.5914,                0.86076,                0.85588,               0.006733,               0.006733,               0.006733
                     35,                 1.7853,                0.87775,                0.85393,                0.71626,                0.56637,                 0.6055,                 0.3578,                 1.5845,                0.85636,                0.85452,               0.006634,               0.006634,               0.006634
                     36,                 1.7481,                0.88073,                0.85146,                0.73216,                0.57302,                0.62637,                0.36375,                 1.5932,                0.86234,                0.85507,               0.006535,               0.006535,               0.006535
                     37,                 1.7395,                0.87532,                0.84777,                 0.7489,                0.56313,                0.62598,                0.36902,                 1.5993,                0.85146,                 0.8543,               0.006436,               0.006436,               0.006436
                     38,                 1.7125,                0.85624,                0.84953,                  0.719,                  0.564,                0.61339,                 0.3516,                 1.7058,                0.88261,                0.86444,               0.006337,               0.006337,               0.006337
                     39,                 1.6931,                0.86129,                0.84639,                 0.7118,                0.58272,                0.62992,                0.36018,                 1.6202,                0.86454,                0.85528,               0.006238,               0.006238,               0.006238
                     40,                 1.7078,                0.85873,                0.84786,                 0.7463,                0.59007,                0.63595,                0.37302,                  1.597,                0.83804,                0.86045,               0.006139,               0.006139,               0.006139
                     41,                 1.6883,                0.85673,                0.84708,                 0.7692,                0.55969,                0.62263,                0.36853,                 1.5716,                0.82999,                0.85393,                0.00604,                0.00604,                0.00604
                     42,                  1.676,                 0.8388,                0.84456,                  0.714,                0.59826,                0.63315,                0.38006,                 1.5484,                0.82869,                0.85124,               0.005941,               0.005941,               0.005941
                     43,                 1.6762,                0.83604,                0.84411,                0.68773,                0.57381,                0.63217,                0.36899,                 1.6137,                0.83783,                0.85621,               0.005842,               0.005842,               0.005842
