                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2718,                 5.8979,                 1.2857,                      0,                      0,                      0,                      0,                 2.7003,                 4.5748,                0.99498,                 0.0811,                 0.0021,                 0.0021
                      1,                 2.9776,                 3.7095,                 1.0114,                0.01075,                0.10301,                0.04758,                0.01592,                 3.0341,                 3.6217,                 1.0046,               0.061257,              0.0042574,              0.0042574
                      2,                 2.9979,                 2.8699,                 1.0355,                0.01329,                0.13647,                0.04807,                0.01369,                 3.1599,                 3.4853,                 1.0401,               0.041371,              0.0063713,              0.0063713
                      3,                 3.0762,                 2.6605,                 1.0288,                 0.0146,                0.15991,                0.05646,                0.01106,                 3.4626,                 3.3366,                 1.0608,               0.021442,              0.0084416,              0.0084416
                      4,                 3.0918,                 2.5538,                 1.0311,                0.68183,                0.08212,                0.20017,                0.08326,                 2.6656,                 2.3258,                0.99278,               0.009604,               0.009604,               0.009604
                      5,                 2.7658,                 2.4498,                  1.001,                0.25816,                0.25648,                0.19868,                0.07334,                 2.9502,                 2.1553,                 1.0106,               0.009604,               0.009604,               0.009604
                      6,                 2.8619,                 2.2412,                0.99398,                0.54092,                0.30058,                0.26243,                0.13081,                 2.3833,                 1.9735,                0.96326,               0.009505,               0.009505,               0.009505
                      7,                 2.7753,                 2.1058,                0.97963,                0.54327,                0.34177,                0.30979,                0.15725,                 2.5585,                 1.8477,                0.97111,               0.009406,               0.009406,               0.009406
                      8,                   2.63,                 1.9978,                0.97485,                0.57071,                0.37643,                0.35242,                0.17333,                 2.3406,                 2.1749,                0.94323,               0.009307,               0.009307,               0.009307
                      9,                 2.6457,                 1.9515,                0.95537,                0.53872,                0.37075,                0.36911,                0.17487,                 2.2893,                 1.8422,                0.93043,               0.009208,               0.009208,               0.009208
                     10,                 2.5352,                 1.8183,                0.95087,                0.36175,                0.41053,                0.38274,                0.17197,                 2.3659,                 1.5652,                 0.9322,               0.009109,               0.009109,               0.009109
                     11,                 2.4871,                 1.7838,                0.94167,                0.39126,                0.38981,                0.37378,                0.17884,                 2.3021,                 1.8145,                0.93049,                0.00901,                0.00901,                0.00901
                     12,                 2.4226,                   1.76,                0.94237,                0.56494,                0.39312,                0.39185,                0.18961,                 2.3023,                 1.5206,                0.92797,               0.008911,               0.008911,               0.008911
                     13,                 2.4672,                 1.6841,                 0.9387,                0.46341,                0.42657,                0.38717,                0.18929,                 2.2761,                 1.4563,                0.92793,               0.008812,               0.008812,               0.008812
                     14,                 2.3821,                  1.672,                0.93047,                0.44498,                0.40059,                0.34362,                0.18229,                 2.0901,                 1.4014,                0.90639,               0.008713,               0.008713,               0.008713
                     15,                 2.3402,                  1.649,                0.91745,                0.49433,                0.45419,                0.37394,                0.19427,                 2.2175,                 1.4334,                0.92778,               0.008614,               0.008614,               0.008614
                     16,                 2.3346,                 1.6123,                0.92667,                0.44552,                0.40521,                0.36471,                0.17963,                 2.1852,                 1.3553,                0.91781,               0.008515,               0.008515,               0.008515
