                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5412,                 16.291,                 1.4812,                0.35508,                0.11312,                0.03921,                0.01402,                  2.995,                 5.4474,                 1.0418,                 0.0811,                 0.0021,                 0.0021
                      1,                 2.7139,                 2.7232,                0.99283,                0.47375,                 0.1523,                0.21091,                  0.107,                  2.519,                 2.7042,                0.96862,               0.061257,              0.0042574,              0.0042574
                      2,                 2.6368,                 2.0558,                0.97202,                0.27378,                0.37272,                0.30649,                0.16486,                  2.695,                 2.2886,                0.96509,               0.041371,              0.0063713,              0.0063713
                      3,                 2.7577,                 2.0268,                0.97365,                0.40154,                0.32227,                0.30268,                0.12818,                 2.8348,                 2.5209,                0.97295,               0.021442,              0.0084416,              0.0084416
                      4,                 2.8597,                 1.9427,                0.99245,                0.43494,                 0.3474,                0.30187,                0.11317,                 2.7463,                 2.1107,                0.98153,               0.009604,               0.009604,               0.009604
                      5,                  2.549,                 2.0776,                0.95574,                0.49356,                0.39292,                 0.3537,                0.16577,                 2.4388,                 1.5888,                0.94407,               0.009604,               0.009604,               0.009604
                      6,                 2.6937,                 1.7753,                0.97317,                0.21434,                0.38848,                0.33004,                0.14888,                 2.4474,                 2.6665,                0.93186,               0.009505,               0.009505,               0.009505
                      7,                 2.6266,                 1.5545,                0.95829,                0.43969,                0.43332,                 0.3973,                0.18824,                 2.2161,                 1.7527,                0.92905,               0.009406,               0.009406,               0.009406
                      8,                  2.542,                 1.4332,                0.95094,                0.43046,                0.43843,                0.42288,                0.19888,                 2.2226,                 1.4221,                0.91885,               0.009307,               0.009307,               0.009307
                      9,                 2.4638,                   1.41,                0.92475,                0.41765,                0.44189,                0.41589,                0.20252,                 2.3779,                 1.3386,                0.92644,               0.009208,               0.009208,               0.009208
                     10,                  2.397,                 1.3117,                0.92903,                0.48709,                 0.4373,                0.44821,                0.22493,                 2.1668,                 1.2344,                0.91144,               0.009109,               0.009109,               0.009109
